,movieNm,rankAtt_1,audiCntAtt_1,showCntAtt_1
1257,하트 오브 더 씨,0,4329,34
1259,극적인 하룻밤,-1,16185,124
1261,히말라야,9,-176298,-4854
1263,대호,5,-61645,-2966
1265,레전드,-1,18261,184
1267,스타워즈: 깨어난 포스,6,-91864,-4171
1269,구스범스,4,-16557,-1347
1271,조선마술사,-3,94403,991
1273,셜록: 유령신부,-3,350096,960
1274,나를 잊지 말아요,0,35546,264
1277,포인트 브레이크,0,14401,-63
1279,레버넌트: 죽음에서 돌아온 자,0,49935,-834
1281,그날의 분위기,0,30102,492
1282,오빠생각,6,-64688,-2868
1283,"로봇, 소리",4,-14165,-2047
1284,순정,-1,-11099,-1009
1286,빅쇼트,0,5227,-208
1288,검사외전,9,-1177199,-9437
1289,좋아해줘,3,-46820,-2425
1290,데드풀,2,-76446,-4902
1291,귀향,4,-441263,-3917
1298,동주,0,-27607,-355
1300,남과 여,-1,-19988,-905
1306,스포트라이트,1,1093,285
1308,제 5침공,-1,-3237,70
1309,갓 오브 이집트,0,21888,-163
1310,13시간,0,3120,190
1311,널 기다리며,0,15533,19
1312,런던 해즈 폴른,-1,11539,69
1313,조이,0,6576,234
1314,부활,1,-660,-47
1316,배트맨 대 슈퍼맨: 저스티스의 시작,1,-55586,-4572
1317,대배우,5,-6809,-1652
1318,미스컨덕트,0,14069,-251
1319,독수리 에디,1,-11501,-1972
1320,클로버필드 10번지,0,-4099,-963
1321,해어화,3,-19175,-2278
1322,위대한 소원,4,-14424,-2384
1323,시간이탈자,8,-37030,-3236
1324,헌츠맨: 윈터스 워,-1,95762,301
1325,캡틴 아메리카: 시빌 워,0,478025,101
1326,탐정 홍길동: 사라진 마을,5,-52570,-3161
1327,계춘할망,7,-26844,-1783
1329,곡성,6,-200699,-6049
1331,미 비포 유,4,-78073,-1339
1332,다이버전트 시리즈: 얼리전트,-1,-776,-42
1333,정글북,6,-56063,-2955
1335,엑스맨: 아포칼립스,8,-91375,-5132
1336,컨저링 2,8,-63243,-2076
1337,아가씨,9,-143730,-4860
1340,굿바이 싱글,9,-126698,-3505
1342,워크래프트: 전쟁의 서막,-3,67014,339
1343,닌자터틀 : 어둠의 히어로,-1,14441,511
1344,인디펜던스 데이 : 리써전스,9,-60502,-4227
1345,비밀은 없다,-4,35668,412
1347,사냥,-2,127305,608
1350,레전드 오브 타잔,1,37862,54
