,actor1,actorPower,movieNm,actor_var
82,캐서린 헤이글,239739,27번의 결혼리허설,82
83,가엘 가르시아 베르날,2551,더 킹,83
84,찰톤 헤스톤,816,벤허,84
85,니시지마 히데토시,132,귀향,85
86,무로이 시게루,5,전국노래자랑,86
87,최원균,0,워낭소리,87
88,샘 워싱턴,5150667,아바타,88
89,다니엘 래드클리프,2957706,해리 포터와 혼혈 왕자,89
90,금성무,2694436,적벽대전 2 : 최후의 결전,90
91,채닝 테이텀,2665874,지.아이.조 : 전쟁의 서막,91
92,한동학,2554960,굿모닝 프레지던트,92
93,강동원,2453883,전우치,93
94,송강호,2205600,박쥐,94
95,하지원,2135509,내 사랑 내 곁에,95
96,벤 스틸러,1972440,박물관이 살아있다 2,96
97,로버트 패틴슨,1930895,뉴 문,97
98,톰 행크스,1906687,천사와 악마,98
99,김성태,1901694,애자,99
100,송요셉,1892467,그림자 살인,100
101,톰 크루즈,1784165,작전명 발키리,101
102,엄태웅,1778843,차우,102
103,브래드 피트,1739997,벤자민 버튼의 시간은 거꾸로 간다,103
104,최경원,1670652,불꽃처럼 나비처럼,104
105,정준호,1532632,유감스러운 도시,105
106,박용하,1517096,작전,106
107,이범수,1262850,킹콩을 들다,107
108,김래원,1187684,인사동 스캔들,108
109,데브 파텔,1106420,슬럼독 밀리어네어,109
110,크리스 파인,1085281,스타 트렉: 더 비기닝,110
111,제니퍼 코넬리,935168,그는 당신에게 반하지 않았다,111
112,샬토 코플리,841125,디스트릭트 9,112
113,김강우,827647,마린보이,113
114,브루스 윌리스,794475,써로게이트,114
115,에릭 바나,728149,시간 여행자의 아내,115
116,크리스 에반스,715887,푸시,116
117,권상우,715800,슬픔보다 더 슬픈 이야기,117
118,빈 디젤,675213,분노의 질주: 더 오리지널,118
119,오연서,644717,여고괴담 5,119
120,케이 파나베이커,634100,페임,120
121,서민균,611848,홍길동의 후예,121
122,제프리 딘 모건,597118,왓치맨,122
123,정진영,531008,이태원 살인사건,123
124,안젤리나 졸리,519127,체인질링,124
125,고현정,509309,여배우들,125
126,시릴 라파엘리,501736,13구역: 얼티메이텀,126
127,베라 파미가,481064,오펀: 천사의 비밀,127
128,랄프 파인즈,450158,더 리더: 책 읽어주는 남자,128
129,박해일,433866,10억,129
130,저스틴 채트윈,419187,드래곤볼 에볼루션,130
131,윤계상,391053,집행자,131
132,다코타 블루 리차드,360195,문프린세스 : 문에이커의 비밀,132
133,존 트라볼타,354850,펠햄 123,133
134,산드라 블록,323707,프로포즈,134
135,김선영,318852,정승필 실종사건,135
136,밀라 요보비치,310779,퍼펙트 겟어웨이,136
137,아일라 피셔,306459,쇼퍼홀릭,137
138,카고 아이,303473,주온-원혼의 부활,138
139,정우성,287712,호우시절,139
140,바비 캠포,284633,파이널 데스티네이션 4,140
141,저스틴 롱,272813,드래그 미 투 헬,141
142,유진,268627,요가학원,142
143,남상미,248284,불신지옥,143
144,우마 서먼,243432,뉴욕은 언제나 사랑 중,144
145,클라이브 오웬,237869,인터내셔널,145
146,강혜정,217478,우리 집에 왜 왔니,146
147,오데뜨 유스트만,214638,언데드,147
148,조쉬 하트넷,212067,나는 비와 함께 간다,148
149,오웬 윌슨,210270,말리와 나,149
150,제러드 파달렉키,208118,13일의 금요일,150
151,오드리 토투,206700,코코 샤넬,151
152,다니엘 데이 루이스,93214,나인,152
153,원빈,6178248,아저씨,153
154,차승원,3330324,포화속으로,154
155,김윤진,3018131,하모니,155
156,김주혁,2985483,방자전,156
157,황정민,2722996,부당거래,157
158,이선균,2009586,쩨쩨한 로맨스,158
159,제이크 질렌할,1970823,페르시아의 왕자: 시간의 모래,159
160,로건 레먼,1846180,퍼시 잭슨과 번개 도둑,160
161,이영수,1843404,해결사,161
162,이병헌,1817063,악마를 보았다,162
163,러셀 크로우,1570681,로빈 후드,163
164,주진모,1546132,무적자,164
165,잭슨 라스본,1371164,라스트 에어벤더,165
166,벤 반스,1140201,나니아 연대기: 새벽 출정호의 항해,166
167,엄정화,1081752,베스트셀러,167
168,임수정,1081748,김종욱 찾기,168
169,마크 러팔로,990223,셔터 아일랜드,169
170,김인권,972431,방가? 방가!,170
171,지진희,921111,평행이론,171
172,에릭 벌포,860340,스카이 라인,172
173,지현우,729834,주유소 습격사건 2,173
174,달이,696382,마음이2,174
175,박중훈,688639,내 깡패 같은 애인,175
176,샤니 빈슨,671845,스텝 업 3D,176
177,정보석,640632,오션스,177
178,오재균,596851,이층의 악당,178
179,맷 데이먼,596403,그린 존,179
180,김미소,590531,반가운 살인자,180
181,심형래,543544,라스트 갓파더,181
