,rankAtt_1,audiCntAtt_1,showCntAtt_1,movieNm
1277,0,14401,-63,포인트 브레이크
1279,0,49935,-834,레버넌트: 죽음에서 돌아온 자
1281,0,30102,492,그날의 분위기
1282,6,-64688,-2868,오빠생각
1283,4,-14165,-2047,"로봇, 소리"
1284,-1,-11099,-1009,순정
1286,0,5227,-208,빅쇼트
1288,9,-1177199,-9437,검사외전
1289,3,-46820,-2425,좋아해줘
1290,2,-76446,-4902,데드풀
1291,4,-441263,-3917,귀향
1298,0,-27607,-355,동주
1300,-1,-19988,-905,남과 여
1306,1,1093,285,스포트라이트
1308,-1,-3237,70,제 5침공
1309,0,21888,-163,갓 오브 이집트
1310,0,3120,190,13시간
1311,0,15533,19,널 기다리며
1312,-1,11539,69,런던 해즈 폴른
1313,0,6576,234,조이
1314,1,-660,-47,부활
1316,1,-55586,-4572,배트맨 대 슈퍼맨: 저스티스의 시작
1317,5,-6809,-1652,대배우
1318,0,14069,-251,미스컨덕트
1319,1,-11501,-1972,독수리 에디
1320,0,-4099,-963,클로버필드 10번지
1321,3,-19175,-2278,해어화
1322,4,-14424,-2384,위대한 소원
1323,8,-37030,-3236,시간이탈자
1324,-1,95762,301,헌츠맨: 윈터스 워
1325,0,478025,101,캡틴 아메리카: 시빌 워
1326,5,-52570,-3161,탐정 홍길동: 사라진 마을
1327,7,-26844,-1783,계춘할망
1329,6,-200699,-6049,곡성
1331,4,-78073,-1339,미 비포 유
1332,-1,-776,-42,다이버전트 시리즈: 얼리전트
1333,6,-56063,-2955,정글북
1335,8,-91375,-5132,엑스맨: 아포칼립스
1336,8,-63243,-2076,컨저링 2
1337,9,-143730,-4860,아가씨
1340,9,-126698,-3505,굿바이 싱글
1342,-3,67014,339,워크래프트: 전쟁의 서막
1343,-1,14441,511,닌자터틀 : 어둠의 히어로
1344,9,-60502,-4227,인디펜던스 데이 : 리써전스
1345,-4,35668,412,비밀은 없다
1347,-2,127305,608,사냥
